timestamp,detected_object,confidence_level,spray_status
"10/21/2025, 7:27:46 PM",snail-infested crops:66.8%,66.8,off
"10/21/2025, 7:28:05 PM",dead crops:74.1%,74.1,off
"10/21/2025, 7:29:14 PM",snail-infested crops:60.6%,60.6,off
"10/21/2025, 7:34:20 PM",snail-infested crops:75.0%,75,off
"10/21/2025, 7:34:33 PM",dead crops:69.9%,69.9,off
"10/21/2025, 7:34:38 PM",dead crops:78.1%,78.1,off
"10/21/2025, 7:34:48 PM",snail-infested crops:78.9%,78.9,off
"10/21/2025, 7:36:05 PM",snail-infested crops:89.9%,89.9,off
"10/21/2025, 7:36:08 PM","snail-infested crops:89.5%,snail-infested crops:69.1%",89.5,off
"10/21/2025, 7:36:10 PM",snail-infested crops:92.0%,92,off
"10/21/2025, 7:36:13 PM",snail-infested crops:93.6%,93.6,off
"10/21/2025, 7:36:15 PM",snail-infested crops:93.2%,93.2,off
"10/21/2025, 7:36:18 PM",snail-infested crops:90.5%,90.5,off
"10/21/2025, 7:36:20 PM",snail-infested crops:93.2%,93.2,off
"10/21/2025, 7:36:23 PM",snail-infested crops:93.7%,93.7,off
"10/21/2025, 7:36:25 PM",snail-infested crops:89.1%,89.1,off
"10/21/2025, 7:36:28 PM",snail-infested crops:89.3%,89.3,off
"10/21/2025, 7:36:33 PM",snail-infested crops:93.8%,93.8,off
"10/21/2025, 7:36:35 PM",snail-infested crops:90.4%,90.4,off
"10/21/2025, 7:36:38 PM",snail-infested crops:81.6%,81.6,off
"10/21/2025, 7:36:40 PM",snail-infested crops:86.4%,86.4,off
"10/21/2025, 7:36:43 PM",snail-infested crops:90.3%,90.3,off
"10/21/2025, 7:36:45 PM","snail-infested crops:84.8%,snail-infested crops:77.7%",84.8,off
"10/21/2025, 7:36:48 PM",snail-infested crops:93.3%,93.3,off
"10/21/2025, 7:36:50 PM",snail-infested crops:91.5%,91.5,off
"10/21/2025, 9:29:17 PM","snail-infested crops:22.3%,snail-infested crops:15.8%,snail-infested crops:12.1%,snail-infested crops:10.2%",22.3,off
"10/21/2025, 9:29:27 PM","dead crops:28.0%,snail-infested crops:23.7%",28,off
"10/21/2025, 9:29:28 PM","snail-infested crops:64.8%,snail-infested crops:18.5%,snail-infested crops:14.9%,snail-infested crops:14.4%,dead crops:13.2%",64.8,off
"10/21/2025, 9:29:32 PM","dead crops:18.2%,snail-infested crops:10.2%",18.2,off
"10/21/2025, 9:29:35 PM","dead crops:87.7%,snail-infested crops:22.9%",87.7,off
"10/21/2025, 9:29:37 PM","dead crops:87.7%,snail-infested crops:22.9%",87.7,off
"10/21/2025, 9:29:38 PM","dead crops:71.3%,snail-infested crops:23.5%,snail-infested crops:15.4%",71.3,off
"10/21/2025, 9:29:41 PM","snail-infested crops:13.9%,snail-infested crops:13.6%,dead crops:10.2%",13.9,off
"10/21/2025, 9:29:43 PM","snail-infested crops:19.9%,snail-infested crops:16.1%",19.9,off
"10/21/2025, 9:29:46 PM",snail-infested crops:10.8%,10.8,off
"10/21/2025, 9:29:51 PM",snail-infested crops:26.2%,26.2,off
"10/21/2025, 9:29:54 PM",snail-infested crops:19.0%,19,off
"10/21/2025, 9:29:57 PM","snail-infested crops:46.9%,snail-infested crops:11.1%,snail-infested crops:10.9%",46.9,off
"10/21/2025, 9:29:59 PM","snail-infested crops:13.3%,snail-infested crops:11.8%",13.3,off
"10/21/2025, 9:30:02 PM","snail-infested crops:30.4%,snail-infested crops:10.8%,snail-infested crops:10.1%",30.4,off
"10/21/2025, 9:30:17 PM","snail-infested crops:38.9%,snail-infested crops:17.7%,snail-infested crops:13.4%,healthy crops:10.2%",38.9,off
"10/21/2025, 9:30:18 PM",snail-infested crops:14.6%,14.6,off
"10/21/2025, 9:30:23 PM",snail-infested crops:12.8%,12.8,off
"10/21/2025, 9:30:24 PM",snail-infested crops:20.0%,20,off
"10/21/2025, 9:30:27 PM",snail-infested crops:15.6%,15.6,off
"10/21/2025, 9:30:33 PM",snail-infested crops:13.7%,13.7,off
"10/21/2025, 9:30:46 PM",snail-infested crops:43.8%,43.8,off
"10/21/2025, 9:35:48 PM",snail-infested crops:35.8%,35.8,off
"10/21/2025, 9:35:51 PM",snail-infested crops:52.1%,52.1,off
"10/21/2025, 9:35:53 PM",snail-infested crops:52.1%,52.1,off
"10/21/2025, 9:35:56 PM",snail-infested crops:28.9%,28.9,off
"10/21/2025, 9:35:58 PM",snail-infested crops:28.9%,28.9,off
"10/21/2025, 9:36:01 PM","snail-infested crops:76.2%,snail-infested crops:27.9%",76.2,off
"10/21/2025, 9:36:03 PM",snail-infested crops:70.6%,70.6,off
"10/21/2025, 9:36:06 PM",snail-infested crops:70.6%,70.6,off
"10/21/2025, 9:36:09 PM","dead crops:58.0%,stressed crops:17.7%,healthy crops:17.7%,snail-infested crops:17.0%,snail-infested crops:10.9%",58,off
"10/21/2025, 9:36:18 PM","snail-infested crops:41.1%,dead crops:22.3%",41.1,off
"10/21/2025, 9:36:27 PM","snail-infested crops:44.2%,dead crops:13.5%",44.2,off
"10/21/2025, 9:36:33 PM","snail-infested crops:50.2%,dead crops:49.7%,snail-infested crops:15.1%",50.2,off
"10/21/2025, 9:36:52 PM","snail-infested crops:55.2%,snail-infested crops:12.9%",55.2,off
"10/21/2025, 9:37:21 PM",snail-infested crops:27.8%,27.8,off
"10/21/2025, 9:37:45 PM","snail-infested crops:46.6%,snail-infested crops:26.2%",46.6,off
"10/21/2025, 9:38:46 PM",snail-infested crops:51.1%,51.1,off
"10/21/2025, 9:38:49 PM",snail-infested crops:40.5%,40.5,off
"10/21/2025, 9:39:04 PM",snail-infested crops:24.8%,24.8,off
"10/21/2025, 9:39:06 PM",snail-infested crops:18.8%,18.8,off
"10/21/2025, 9:39:09 PM",snail-infested crops:18.2%,18.2,off
"10/21/2025, 9:50:41 PM",dead crops:13.8%,13.8,off
"10/21/2025, 9:50:43 PM",dead crops:13.8%,13.8,off
"10/21/2025, 9:50:53 PM",snail-infested crops:13.0%,13,off
"10/21/2025, 9:50:56 PM",snail-infested crops:13.0%,13,off
"10/21/2025, 9:50:58 PM",snail-infested crops:13.0%,13,off
"10/21/2025, 9:51:01 PM",snail-infested crops:13.0%,13,off
"10/21/2025, 9:51:05 PM",snail-infested crops:33.3%,33.3,off
"10/21/2025, 9:51:07 PM",snail-infested crops:23.3%,23.3,off
"10/21/2025, 9:51:08 PM",snail-infested crops:23.3%,23.3,off
"10/21/2025, 9:51:11 PM",snail-infested crops:23.3%,23.3,off
"10/21/2025, 9:51:13 PM","snail-infested crops:44.2%,snail-infested crops:28.5%,stressed crops:17.2%",44.2,off
"10/21/2025, 9:51:17 PM","snail-infested crops:44.2%,snail-infested crops:28.5%,stressed crops:17.2%",44.2,off
