gateway_timestamp,node_timestamp,raw_adc,vwc_percent,rssi_dbm,distance_m,battery_voltage,soc_percent,charging,charge_pin
2025-11-12 14:09:31,20960,264.0,8.00,-43,0.06,,,NO,
2025-11-12 14:10:46,85513,,,,,4.18,97,NO,
2025-11-12 14:11:31,20961,264.0,8.00,-49,0.11,,,NO,
2025-11-12 14:12:31,85486,,,,,4.18,98,NO,
2025-11-12 14:19:46,20962,266.0,7.00,-46,0.08,,,NO,
2025-11-12 14:21:01,85514,,,,,4.17,96,NO,
2025-11-12 14:23:16,20961,8.0,100.00,-89,7.31,,,NO,
2025-11-12 14:24:17,85510,,,,,5.39,100,NO,
2025-11-12 14:25:32,20961,20.0,100.00,-87,5.93,,,NO,
2025-11-12 14:26:32,85448,,,,,5.32,100,NO,
2025-11-12 14:28:32,20963,31.0,100.00,-86,5.34,,,NO,
2025-11-12 14:29:32,85506,,,,,5.27,100,NO,
2025-11-12 14:30:17,125050,35.0,100.00,-87,5.93,,,NO,
2025-11-12 14:31:17,185071,,,,,5.26,100,NO,
2025-11-12 14:40:17,20962,68.0,100.00,-86,5.34,,,NO,
2025-11-12 14:41:17,85509,,,,,5.1,100,NO,
2025-11-12 14:42:47,20961,55.0,100.00,-85,4.81,,,NO,
2025-11-12 14:43:47,85507,,,,,5.19,100,NO,
2025-11-12 15:00:17,1070295,82.0,94.00,-90,8.11,,,NO,
2025-11-12 15:01:17,1130073,,,,,5.17,100,NO,
2025-11-12 15:30:17,2870078,78.0,96.00,-86,5.34,,,NO,
2025-11-12 15:31:17,2930100,,,,,5.15,100,NO,
2025-11-12 16:00:17,4670041,91.0,90.00,-88,6.58,,,NO,
2025-11-12 16:01:17,4730076,,,,,5.12,100,NO,
2025-11-12 16:30:17,6470550,101.0,85.00,-91,9.01,,,NO,
2025-11-12 16:31:17,6534092,,,,,5.1,100,NO,
2025-11-12 17:00:17,8270049,106.0,83.00,-90,8.11,,,NO,
2025-11-12 17:01:17,8330072,,,,,5.06,100,NO,
2025-11-12 17:31:19,10130065,,,,,5.03,100,NO,
2025-11-12 17:48:48,20960,115.0,79.00,-85,4.81,,,NO,
2025-11-12 17:49:48,85510,,,,,4.88,100,NO,
2025-11-12 18:00:18,705041,117.0,78.00,-84,4.33,,,NO,
2025-11-12 18:01:18,765313,,,,,4.87,100,NO,
2025-11-12 18:30:18,2505065,123.0,75.00,-85,4.81,,,NO,
2025-11-12 18:31:18,2565089,,,,,4.87,100,NO,
2025-11-12 19:00:19,4305066,131.0,71.00,-85,4.81,,,NO,
2025-11-12 19:01:19,4365084,,,,,4.85,100,NO,
2025-11-12 19:30:19,6105303,139.0,67.00,-85,4.81,,,NO,
2025-11-12 19:31:19,6165079,,,,,4.84,100,NO,
2025-11-12 20:00:19,7905306,143.0,65.00,-85,4.81,,,NO,
2025-11-12 20:01:19,7965335,,,,,4.82,100,NO,
2025-11-12 20:30:19,9705313,152.0,61.00,-86,5.34,,,NO,
2025-11-12 20:31:19,9765090,,,,,4.8,100,NO,
