gateway_timestamp,node_timestamp,raw_adc,vwc_percent,rssi_dbm,distance_m,battery_voltage,soc_percent,charging,charge_pin,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2025-11-12 14:11:31,81006,1021.00,,-26,0.01,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 14:12:46,147558,,,,,0.4,,YES,1,,,,,,,,,,,,,,,,
2025-11-12 14:13:31,20963,-1.00,100,-36,0.03,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 14:14:31,85510,,,,,5.16,100,YES,1,,,,,,,,,,,,,,,,
2025-11-12 14:30:17,1020081,-1.00,100,-29,0.01,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 14:31:17,1080104,,,,,5.16,100,YES,1,,,,,,,,,,,,,,,,
2025-11-12 14:42:02,20962,-1.00,100,-33,0.02,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 14:43:17,85489,,,,,5.16,100,YES,1,,,,,,,,,,,,,,,,
2025-11-12 15:00:17,1104069,-1.00,100,-34,0.02,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 15:01:17,1164104,,,,,5.16,100,YES,1,,,,,,,,,,,,,,,,
2025-11-12 15:30:17,2904041,-1.00,100,-42,0.05,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 15:31:17,2964062,,,,,5.16,100,YES,1,,,,,,,,,,,,,,,,
2025-11-12 16:00:17,4704080,-1.00,100,-51,0.14,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 16:01:17,4764103,,,,,5.16,100,YES,1,,,,,,,,,,,,,,,,
2025-11-12 16:30:17,6504062,-1.00,100,-48,0.1,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 16:31:17,6564086,,,,,5.16,100,YES,1,,,,,,,,,,,,,,,,
2025-11-12 17:00:17,8304050,-1.00,100,-66,0.66,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 17:01:17,8364066,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 17:07:17,20967,-1.00,100,-59,0.32,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 17:08:32,85516,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 17:11:02,20964,-1.00,100,-62,0.43,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 17:12:17,85507,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 17:31:19,1228032,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 17:31:34,20964,-1.00,100,-61,0.39,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 17:32:49,85488,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 18:00:18,1734079,-1.00,100,-85,4.81,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 18:01:18,1794100,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 18:30:18,3534043,-1.00,100,-86,5.34,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 18:31:18,3594066,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 19:00:19,5334057,-1.00,100,-87,5.93,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 19:01:19,5394329,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 19:30:19,7134065,-1.00,100,-86,5.34,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 19:31:19,7194086,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 20:00:19,8934074,-1.00,100,-87,5.93,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 20:01:19,8994096,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 20:30:19,10734062,-1.00,100,-88,6.58,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 20:31:19,10794082,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 21:00:19,12534066,-1.00,100,-86,5.34,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 21:01:19,12594087,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 21:30:19,14334065,-1.00,100,-87,5.93,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 21:31:19,14396094,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 22:01:19,16195594,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 22:30:19,17934048,-1.00,100,-86,5.34,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 22:31:19,17994071,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 23:00:34,19734044,-1.00,100,-85,4.81,,,NO,,,,,,,,,,,,,,,,,
2025-11-12 23:01:19,19796065,,,,,5.39,100,NO,,,,,,,,,,,,,,,,,
2025-11-12 23:30:19,21534065,-1.00,100,-87,5.93,,,NO,,,,,,,,,,,,,,,,,
